Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
2418.3,3,Vegetable 3 Egg Scramble,Nonfat yogurt,Mocha Berry Almond Smoothie,,
2418.3,4,Gluten-Free Quinoa Pancakes,Chocolate Avocado Smoothie,Protein Yogurt and Blueberries,Cucumber Apple Salad,
2418.3,5,High Protein Omelet,"Strawberry, Peach, and Chia Smoothie",Turkey Veggie Hummus Wrap,Avocado Coleslaw,Greek Yogurt and Fruit Salad
2770.97,3,Bacon Breakfast Tacos,Yogurt with Walnuts & Honey,Chocolate peanut protein shake,,
2770.97,4,Chocolate PB & Banana Protein Shake,Apple Toast,Tuna Poke,Waldorf-ish Salad,
2770.97,5,Egg with Bacon and Brussel Sprout Hash,Yogurt with Toasted Coconut,Simple Ham and Lettuce Sandwich,Avocado Rice Cake,Cheese-stuffed Prunes with Almonds
3123.64,3,Pumpkin Pecan Oatmeal,Guacamole on Tostada,Red Eye Protein Parfait,,
3123.64,4,3-Vegetable Tofu Scramble,Protein-boosted Yogurt,Blueberry Shake,Turkish Style Salad,
3123.64,5,Vegetable 3 Egg Scramble,Blueberry Yogurt,Chocolate PB & Banana Protein Shake,Hummus Chickpea Snack Sandwiches,Tossed Salad with Artichoke Hearts and Chickpeas
3476.31,3,"Peanut Butter, Banana, and Oatmeal Pancakes","Yogurt with Blueberries, Sunflower Seeds, and Honey",1000 Calorie Shake,,
3476.31,4,Oatmeal Cottage Cheese Pancakes,No-Bake Apple "Cookies",Tuna Salad,Raspberry Yogurt Parfait,
3476.31,5,"Turkey, Goat Cheese, and Spinach Omelet",Strawberry Pear Juice,Paleo Avocado Tuna Salad (Tuna in Water),"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Strawberry Protein Shake
3828.97,3,Pumpkin Protein Pancakes,Peanut Butter Protein Milkshake,Spicy Tuna Salad,,
3828.97,4,Scrambled Eggs with Onion Flakes,Fried Rice,Blueberry Shake,Raw Cauliflower Tabouli,
3828.97,5,Bacon Breakfast Tacos,Orange Dream Protein Smoothie,Cottage Cheese with Blueberries and Honey,Rice Cake with Peanut Butter and Chocolate Chips,Tuna Apple Salad
2347.5,3,Turkey Egg White Omelet,Almond Butter Banana Toast,Blueberry Chard Protein Smoothie,,
2347.5,4,Scrambled Eggs with Spinach & Parmesan,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Vanilla Protein Milkshake,Carrots with Hummus,
2347.5,5,"Toasted Pita with Gouda, Avocado, and Tomato",Yogurt with Pumpkin & Cinnamon,Spicy Tuna Salad,Carrots,"Turkey, Ham, and Avocado on Rye"
2817,3,Cinnamon Apple Protein Oatmeal,Vanilla Walnut Blueberry Yogurt,Blueberry Almond Butter Protein Smoothie,,
2817,4,Eggs Baked in Avocado,Light Nectarine Yogurt,Apple Spice Protein Shake,Smoked Almond Cottage Cheese Endive Bites,
2817,5,Mixed Berry Morning Smoothie,Buttered Toast with Cinnamon,Turkey Wrap,Yogurt with Papaya,Sardine Salad Sandwich
3227.81,3,Poached Egg and Crispy Prosciutto Toast,Cherry Berry Protein Smoothie,Apple Walnut Parfait,,
3227.81,4,Morning Green Smoothie,Very Berry Cottage Cheese,Blueberry Kale Salad,Yogurt & Pineapple,
3227.81,5,Peach and Blueberry Parfait,"Toast with Pear, Ricotta, & Honey",Quick Avocado Tuna Sandwich,Asian Avocado,Banana Almond Shake
3638.62,3,Grilled Breakfast Pizza,Almond Butter Banana Toast,Tuna and Hummus,,
3638.62,4,High Protein Pancakes,Vanilla Walnut Blueberry Yogurt,Paleo Avocado Tuna Salad (Tuna in Oil),Mexican Street Corn,
3638.62,5,Fried Egg Sandwich,Cottage Cheese & Apricots,Salmon Wrapped Avocado,Yogurt & Apricots,Coco Bongo protein shake
4049.44,3,1000 Calorie Shake,Cheese On Toast,Mango chia seed pudding,,
4049.44,4,Veggie Omelet,Fruit Parfait,Paleo Avocado Tuna Salad (Tuna in Oil),Smoked Almond Cottage Cheese Endive Bites,
4049.44,5,"Kale, Sweet Potato, and Onion Frittata",Rice Cake with Peanut Butter and Chocolate Chips,All American Tuna,"Chickpea, Walnut, & Cucumber Yogurt",Quick White Bean Salad
4460.25,3,Chocolate Blueberry Protein Shake,Fried Rice,Peanut Butter Protein Balls,,
4460.25,4,Oatmeal banana protein shake,Rice Cake with Peanut Butter and Chocolate Chips,Avocado & White Bean Salad,Yogurt with Papaya,
4460.25,5,Scrambled Eggs with Bacon and Avocado,Cottage Cheese & Apricots,Chocolate and Banana Kefir Smoothie,Turkey and Avocado Wrap,Tuna Apple Salad
1464,3,"Berry, Spinach, and Avocado Smoothie",Microwave Poached Eggs,Blackberry Yogurt Parfait,,
1464,4,Zucchini Hash,"Toast with Pear, Cottage Cheese, and Honey",Yogurt with Avocado & Basil,Thai Cucumber Salad,
1464,5,Pumpkin Protein Pancakes,Guacamole on Tostada,Tuna and Avocado Wrap,Chopped Salad,Chia Cottage Cheese with Blueberries
1756.8,3,Cheesy Scrambled Eggs,Fruit Salad,Yogurt & Apricots,,
1756.8,4,Strawberry Banana Protein Shake,Pecans,"Turkey, Cheddar, and Mustard Sandwich",Yogurt with Papaya,
1756.8,5,Guacamole Pizza,Nonfat yogurt,Lime Chicken Salad,"Banana, Almond Butter, and Dates","Toast with Tomato, Onion, & Hummus"
2013,3,Hummus Avocado Toast,Basic Protein Shake,Berry Granola Parfait,,
2013,4,Hard Boiled Egg and Avocado Bowl,Pineapple Cottage Cheese with Lime,Greek Yogurt  with Mixed Berries,Basic Tossed Salad,
2013,5,Spinach and Mushroom Breakfast Scramble,Apples and Almond Butter on Toast,Tuna Stuffed Pepper,Apples and Almond Butter,Feta Cucumber Boats
2269.2,3,Smoked Salmon and Mushroom Scramble,Apples and Almond Butter,Mocha Berry Almond Smoothie,,
2269.2,4,Peach and Blueberry Parfait,Buttered Toast with Cinnamon,Strawberry Protein Shake,Bell Pepper and Hummus Snack,
2269.2,5,Sticky Bun Chia Seed Pudding,Light Peach Yogurt,Creamy Green Chia Smoothie,Feta and Veggie Salad,Sriracha-Lime Popcorn
2525.4,3,Devilled Egg Toast,Chocolate Coconut Protein Shake,Lemon-Pepper Tuna Sandwich,,
2525.4,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Buttered Toast with Cinnamon,Tropical Green Fusion Smoothie,Green Bean Healthy Tuna Salad,
2525.4,5,Spinach Tomato Quesadilla,Yogurt & Strawberries,Simple Ham and Lettuce Sandwich,Green salad,All American Tuna
2781.6,3,Spiced Sweet Potato and Goat Cheese Egg Skillet,Chocolate Avocado Smoothie,Blueberry Parfait,,
2781.6,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Peanut Butter and Peach Toast,Simple Ham and Lettuce Sandwich,Carrots with Hummus,
2781.6,5,Tropical Green Protein Smoothie,"Toast with Tomato, Onion, & Hummus",Paleo Avocado Tuna Salad (Tuna in Oil),Oranges,Yogurt Peanut Butter Dip & Apples
1526.25,3,Sunrise Smoothie,Microwave Poached Eggs,Deli Roast Chicken Breast and Swiss Cheese Lettuce Wrap,,
1526.25,4,Mushroom Egg White Omelet,Chocolate Avocado Smoothie,Easy Daily Spinach Salad,Light Nectarine Yogurt,
1526.25,5,Egg White Avocado & Tomato Scramble,Buttered Toast with Cinnamon,Corn Tuna Salad,Turkey and Avocado Wrap,Cottage Cheese with Raspberries
1831.5,3,Coconut Cinnamon Oats,Very Berry Cottage Cheese,Seedy Avocado Toast,,
1831.5,4,Peanut Butter Protein Oats,Granola,Avocado Chickpea Lettuce Wraps,Yogurt & Banana,
1831.5,5,Warm Pear with Cinnamon Ricotta,Yogurt with Toasted Coconut,Raspberry Peanut Butter Protein Smoothie,Sprout Salad,Salsa salad
2098.59,3,English Muffin Spicy Tuna Melt,Yogurt & Mango,Orange Creamsicle Protein Shake,,
2098.59,4,Cherry Berry Protein Smoothie,Cool Summer Cucumber Chicken and Tomato Toss,Carrots with Hummus,Herb and Lemon Fish,
2098.59,5,Greek Yogurt with Blue and Blackberries,Cucumber Avocado Toast,Sunrise Peanut Butter Berry Protein Smoothie,Tomato and Radish Salad,"Turkey, Ham, and Avocado on Rye"
2365.69,3,Protein Yogurt and Blueberries,Fruit Salad,Blueberry Almond Butter Protein Smoothie,,
2365.69,4,Raspberry Peanut Butter Protein Smoothie,Apples and Almond Butter on Toast,Tuna & White Bean Salad,Yogurt with Matcha & Toasted Coconut,
2365.69,5,Hard Boiled Egg and Avocado Bowl,Light Raspberry yogurt,Vanilla Banana Protein Shake,Peach and Peanut Butter Snack,"Turkey, Ham, and Avocado on Rye"
2632.78,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Orange Dream Protein Smoothie,Chicken & Vegetable Wrap,,
2632.78,4,"Sausage, Egg, and Cheese Muffin",Yogurt Peanut Butter Dip & Apples,Oatmeal banana protein shake,Veggies with Hummus,
2632.78,5,Savory Cr?pes,Yogurt with Almonds & Honey,Tuna & White Bean Salad,Peanut Butter & Celery,Trail Mix
2899.88,3,Vegetable 3 Egg Scramble,Yogurt & Dried Mango,Strawberry Protein Shake,,
2899.88,4,Herb Omelette with Fried Tomatoes,"Toast with Pear, Cottage Cheese, and Honey",Red Eye Protein Parfait,Mixed Greens with Sliced Cucumber and Avocado,
2899.88,5,Low Carb Pancakes,Peanut Butter Banana Smoothie,Greek Yogurt with Blue and Blackberries,Sundried Tomato and Avocado Chopped Salad,Simple Caprese Sandwich
1714,3,Avocado and Cottage Cheese Toast,Microwave Poached Eggs,Creamy Green Chia Smoothie,,
1714,4,Vanilla Protein Shake,"Toast with Tomato, Onion, & Hummus",Greek Yogurt and Berry Parfait,Cucumber Avocado Salad,
1714,5,Egg White and Mushroom Omelet,Veggie Apple Smoothie,Greek Yogurt  with Mixed Berries,Simple Spinach Salad,Chickpea Mash Salad
2056.8,3,English Muffin Breakfast Pizza,Peanut Butter and Peach Toast,Peanut Butter and Banana Toast,,
2056.8,4,Scrambled Eggs with Spinach & Parmesan,Light Nectarine Yogurt,Tuna and Hummus,Ants on a Log,
2056.8,5,Protein Pancake,Chocolate Avocado Smoothie,Very Berry Greek Yogurt,Tuna in Cucumber Cups,Prosciutto-Wrapped Pears with Blue Cheese
2356.75,3,Spicy Fried Eggs,Light Peach Yogurt,Chicken Celery Sticks,,
2356.75,4,Multi-grain Toast with Almond Butter and Honey,Protein-boosted Honey Yogurt,Peach Protein Smoothie,Avocado Citrus Salad with Mint,
2356.75,5,Guacamole Pizza,Cottage Cheese with Apples & Cinnamon,Vanilla Banana Protein Shake,Asian Avocado,Yogurt & Banana
2656.7,3,"Scrambled Eggs, Avocado, and Smoked Salmon on Toast",Yogurt & Strawberries,Paleo Avocado Tuna Salad (Tuna in Oil),,
2656.7,4,Peach and Blueberry Parfait,Cinnamon Sugar Toast with Sea Salt,Grown-Up PB&J Toast,Strawberry and Almond Butter Fruit Smoothie,
2656.7,5,"Kale, Peppers, Tomatoes, and Cashew Scramble",Honey and Melon Cottage Cheese,Blackberry Yogurt Parfait,Cauliflower and Tahini,Sardine Salad Sandwich
2956.65,3,Fried Egg Sandwich,Yogurt & Apricots,Post-Workout Peanut Butter Shake,,
2956.65,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Cucumber Avocado Toast,Salmon Salad,Turkey Cottage Cheese Lettuce Wrap,
2956.65,5,Oatmeal banana pancakes,Chocolate Coconut Protein Shake,Tuna Stuffed Pepper,Bean Sprout and Spinach Salad,Yogurt Peanut Butter Dip & Apples
3256.6,3,Greek Yogurt and Berry Parfait,Rice Cake with Peanut Butter and Chocolate Chips,Oatmeal Banana Peanut Butter Chocolate Shake,,
3256.6,4,Chicken & Mayo Bagel,Apple Toast,Chocolate & Berry Avocado Smoothie,Yogurt & Mango,
3256.6,5,Spicy Fried Eggs,Light Nectarine Yogurt,Chocolate PB & Banana Protein Shake,"Spinach, Ham, and Pear Salad",Tuna Salad  Wrap
2005,3,PB&J Smoothie,Toast with Tomato and Hummus,Paleo Avocado Tuna Salad (Tuna in Water),,
2005,4,Black Bean Omelet,Yogurt & Banana,Turkey Hummus Wrap,Mushroom and Pepper Tossed Salad,
2005,5,Veggie Omelet,Cinnamon Banana Mug Cake,Seedy Avocado Toast,Yogurt & Honeydew Melon,Strawberry Banana Protein Shake
2406,3,Oatmeal Cottage Cheese Pancakes,Raspberry Yogurt Parfait,Classic Tuna Salad,,
2406,4,Microwave Peanut Butter Protein Oats,Yogurt with Walnuts & Honey,Tuna & White Bean Salad,Brie cheese on bread,
2406,5,Spinach and Cheese Omelet,Honey Grapefruit with Banana,Banana Orange Smoothie,"Turkey, Ham, and Avocado on Rye",Avocado Chicken Salad
2756.88,3,Protein Silver Dollar Blueberry Pancakes,No-Bake Apple "Cookies",Salmon Salad,,
2756.88,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Toast with Tomato and Hummus,Very Berry Greek Yogurt,Green Bean Healthy Tuna Salad,
2756.88,5,Protein Power Oats,Apples and Almond Butter on Toast,Oatmeal banana protein shake,Lebanese Fresh Thyme Tomato Salad,Yogurt Peanut Butter Dip & Apples
3107.75,3,Ham and Cheese Egg Dunkers,Granola,Peach Oatmeal Smoothie,,
3107.75,4,Bacon Breakfast Tacos,Cottage Cheese & Peaches,Post-Workout Peanut Butter Shake,Yogurt with Carrots & Cucumber,
3107.75,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,"Rice Cake with Peanut Butter, Pear, and Honey",Strawberry Protein Shake,Orange and Pomegranate Salad,Simple Caprese Sandwich
3458.62,3,Smoked Salmon and Egg Tortilla,Yogurt with Apricot and Grapefruit,Banana oatmeal smoothie,,
3458.62,4,High Protein Banana Oatcake,Greek Yogurt and Jam Parfait,1000 Calorie Shake,Green salad,
3458.62,5,"Turkey, Goat Cheese, and Spinach Omelet",Yogurt & Mango,Chocolate PB & Banana Protein Shake,Avocado Citrus Salad with Mint,Waldorf-ish Salad
3809.5,3,Red Eye Protein Parfait,"Banana, Berries, and Bittersweet Chocolate Snack",Chocolate and Banana Kefir Smoothie,,
3809.5,4,Pumpkin Pecan Oatmeal,"Rice Cake with Strawberries, Ricotta & Honey",Blueberry Shake,Lettuce Cucumber Walnut Salad,
3809.5,5,Avocado & Tomato Toast,Cherry Berry Protein Smoothie,Simple Ham and Lettuce Sandwich,Cucumber Noodles with Peanut Sauce,Tossed Salad with Artichoke Hearts and Chickpeas
1094,3,Korean-Style Steamed Eggs,Cinnamon Apple Delight,Tuna and Avocado Salad,,
1094,4,Chocolate Almond Milk Protein Shake,Blueberries,Chia Cottage Cheese with Blueberries,Apple Celery Salad,
1094,5,Ham and Egg Mushroom Cups,Grapes,Avocado with Feta & Pomegranate on Toast,Sliced bell pepper,Tuna Avocado Salad
1312.8,3,Simple Tofu Scramble,Yogurt with Pumpkin & Cinnamon,Chocolate Peanut Butter Oatmeal Protein Shake,,
1312.8,4,Low Carb Pancakes,Buttered Toast with Cinnamon,Blackberry Yogurt Parfait,Sliced bell pepper,
1312.8,5,Egg White Spinach Omelet,Goat Cheese on Toasted Bread with Tomato,Tuna Stuffed Pepper,Fresh Jicama Salad,Rice Cake with Hummus & Tomato
1504.25,3,Egg White Avocado & Tomato Scramble,Yogurt & Mango,Banana Almond Shake,,
1504.25,4,Breakfast Margherita Pizza,Cinnamon Toast,All American Tuna,Strawberry and Peach Green Smoothie,
1504.25,5,Apple Granola "Cookies",Yogurt & Applesauce,Quick Nori Roll with Cucumber and Avocado,Cherry Tomatoes with Feta,"Toast with Tomato, Onion, & Hummus"
1695.7,3,Spinach and Cheese Omelet,Apple,PB&J Smoothie,,
1695.7,4,Coconut Cinnamon Oats,Light Raspberry yogurt,Banana and Berries Smoothie,Green salad,
1695.7,5,Vanilla Banana Protein Shake,Peanut Butter and Peach Toast,Quick Buffalo Chicken Salad,"Rice Cake with Peanut Butter, Pear, and Honey",Chia Cottage Cheese with Blueberries
1887.15,3,Broccolli Hash with Fried Egg,Buttered Toast with Cinnamon,Tuna and Avocado Wrap,,
1887.15,4,Zucchini Hash,"Toast with Pear, Ricotta, & Honey",Sunrise Goji Smoothie,Green Bean Healthy Tuna Salad,
1887.15,5,Scrambled Eggs with Onion Flakes,Kiwi Stacks,Pineapple Ginger Breakfast Fruit Smoothie,Yogurt with Walnuts & Honey,Grown-Up PB&J Toast
2078.6,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Light Peach Yogurt,Salmon Salad Sandwich,,
2078.6,4,Protein Southwest Scramble,Granola,Blueberry Almond Butter Protein Smoothie,Lebanese Tomato and Onion Salad,
2078.6,5,Banana Protein Pancakes,Apples and Almond Butter,Hummus Avocado Toast,Yogurt & Cantaloupe,Corn Tuna Salad
1843.75,3,Broccolli Hash with Fried Egg,Plum and Greek Yogurt Snack,Creamy Green Chia Smoothie,,
1843.75,4,Hard Boiled Egg and Avocado Bowl,Light Raspberry yogurt,Tuna & White Bean Salad,Bell Pepper and Hummus Snack,
1843.75,5,Egg White and Mushroom Omelet,Kiwi Stacks,Greek Yogurt  with Mixed Berries,Raw Cauliflower Tabouli,Avocado Chickpea Lettuce Wraps
2212.5,3,Chocolate Peanut Butter Pancakes,Peaches & Almond Butter on Toast,Tuna Stuffed Pepper,,
2212.5,4,Protein Southwest Scramble,Peaches and Almond Butter on Toast,Strawberry Protein Yogurt Smoothie,Spinach and Broccoli Salad,
2212.5,5,Breakfast Parfait,Avocado Rice Cake,Turkey Veggie Hummus Wrap,Tomato and Radish Salad,Corn Thins and Avocado
2535.16,3,Monte Cristo sandwich,Strawberry and Peach Green Smoothie,Grown-Up PB&J Toast,,
2535.16,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Buttered Toast with Cinnamon,Protein Yogurt and Blueberries,Lemon Berry Smoothie,
2535.16,5,Sausage and Egg White Scramble,"Toast with Tomato, Onion, & Hummus",Greek Yogurt with Blue and Blackberries,Lemon Avocado Salad,Strawberry Banana Protein Shake
2857.81,3,Oatmeal Banana Peanut Butter Chocolate Shake,Buttered Toast,Apple Walnut Parfait,,
2857.81,4,Post-Workout Peanut Butter Shake,Avocado Rice Cake,Protein Yogurt and Blueberries,Sprout Salad,
2857.81,5,Tasty Turkey & Spinach Omelet,Peaches & Almond Butter on Toast,Strawberry Protein Shake,Mediterranean Chopped Salad,Sardine Salad Sandwich
3180.47,3,Chocolate Peanut Butter Oatmeal Protein Shake,Rice Cake with Peanut Butter and Chocolate Chips,Smashed White Bean and Avocado Sandwich,,
3180.47,4,Cinnamon Protein Oats,No-Bake Apple "Cookies",Strawberry Oatmeal Protein Smoothie,Peanut Butter & Celery,
3180.47,5,Mocha Berry Almond Smoothie,Apple Toast,All American Tuna,Bean Sprout and Spinach Salad,Tossed Salad with Artichoke Hearts and Chickpeas
3503.12,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Yogurt & Mango,Lemon-Pepper Tuna Sandwich,,
3503.12,4,Pumpkin Pecan Oatmeal,Avocado Rice Cake,Peaches and Cream Protein Shake,Ants on a Log,
3503.12,5,Cottage Cheese with Raspberries,Protein Berry Crumble,Maple Pear Spinach & Ham Salad,"Chickpea, Walnut, & Cucumber Yogurt",Turkey Veggie Hummus Wrap
1201.5,3,Spinach and Mushroom Eggs,Apple,Blueberry Vanilla Greek Yogurt,,
1201.5,4,Egg Cups,Rice Cakes with Banana & Almond Butter,Tuna Mex Tuna Salad,Banana,
1201.5,5,Egg Whites on Toast,Oranges,Chia Cottage Cheese with Blueberries,Mediterranean Salad,Peanut Butter Chocolate Protein Balls
1441.8,3,"Spinach, Pepper, and Tomato Scramble on Toast",Blueberry Yogurt,Asian Tuna Salad,,
1441.8,4,Simple Tofu Scramble,Yogurt & Applesauce,Raspberry Peanut Butter Protein Smoothie,Hummus Chickpea Snack Sandwiches,
1441.8,5,Zucchini Scramble,Light Peach Yogurt,Vanilla Banana Protein Shake,Mediterranean Chopped Salad,Cottage Cheese with Raspberries
1652.06,3,Protein Banana Egg Pancakes,Lemon Berry Smoothie,Mango Strawberry Arugula Salad,,
1652.06,4,Avocado Toast,Cottage Cheese & Peaches,Blackberry Yogurt Parfait,"Cucumber, Pineapple, Melon Smoothie",
1652.06,5,Poached Egg and Ham Toast,5-Minute Healthy Strawberry Frozen Yogurt,Raspberry Peanut Butter Protein Smoothie,Simple Mixed Greens Salad,Carrots with Hummus
1862.33,3,Peanut Butter Protein Yogurt,"Toast with Tomato, Onion, & Hummus",Chicken and avocado salad,,
1862.33,4,Banana Peanut Butter Chia Pudding,Light Raspberry yogurt,Grown-Up PB&J Toast,Orange Dream Protein Smoothie,
1862.33,5,Strawberry Banana Protein Shake,Granola,Seedy Avocado Toast,Yogurt & Banana Chips,Brie cheese on bread
2072.59,3,Hard Boiled Egg and Avocado Bowl,Very Berry Cottage Cheese,Peach Protein Smoothie,,
2072.59,4,Strawberry Almond Trim Smoothie,"Toast with Tomato, Onion, & Hummus",Cilantro Crab & Corn Stuffed Peppers,Spicy Yogurt Dip with Carrots,
2072.59,5,Parsley and Tomato Scramble,Cottage Cheese and Strawberry Toast,Greens and Raspberry Protein Smoothie,Mediterranean Chopped Salad,Garlic Herb Popcorn
2282.85,3,Protein Power Oats,"Peanut Butter, Spinach, and Kale Smoothie",Ole Salad,,
2282.85,4,"Berry, Spinach, and Avocado Smoothie","Toast with Tomato, Onion, & Hummus",Protein Yogurt and Blueberries,Mushroom and Pepper Tossed Salad,
2282.85,5,Hard Boiled Egg and Avocado Bowl,Nonfat greek yogurt,Almond Mango Protein Shake,Avocado lettuce wrap,Feta Cucumber Boats
1501.25,3,Chocolate Almond Milk Protein Shake,"Toast with Pear, Ricotta, & Honey",Pinto Bean salad,,
1501.25,4,Poached Egg and Crispy Prosciutto Toast,Blueberries,Cottage Cheese with Raspberries,Tomato Basil Layered Salad,
1501.25,5,Post-Workout Banana Protein Smoothie,Avocado Rice Cake,Simple Lemon Pepper Tuna,"Pear, Blue Cheese, and Pecan Salad",Yogurt & Banana Chips
1801.5,3,Pesto Breakfast Sandwich,Creamy Chocolate Protein Smoothie,Very Berry Greek Yogurt,,
1801.5,4,"Breakfast Sandwich with Egg, Cheese, and Ham",Light Raspberry yogurt,Creamy Green Chia Smoothie,Simple Mixed Greens Salad,
1801.5,5,"Spinach, Pepper, and Tomato Scramble on Toast",Nonfat yogurt,Tuna Stuffed Pepper,Edamame Slaw,Buffalo Popcorn
2064.22,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Cinnamon Toast,Sunrise Smoothie,,
2064.22,4,Black Bean Omelet,Yogurt & Dried Mango,Sunrise Peanut Butter Berry Protein Smoothie,Green Kale Salad,
2064.22,5,Banana Almond Shake,Cinnamon Toast,Chicken Celery Sticks,Cauliflower and Hummus Snack,Prosciutto-Wrapped Pears with Blue Cheese
2326.94,3,Turkey and Avocado Egg Wrap,Whey Chocolate Shake,"Turkey, Provolone, and Sprout Sandwich",,
2326.94,4,Morning Green Smoothie,Strawberries,Cilantro Crab & Corn Stuffed Peppers,Hummus Chickpea Snack Sandwiches,
2326.94,5,Breakfast Mini Pizzas,Yogurt & Honeydew Melon,Quick Avocado Tuna Sandwich,Avocado Coleslaw,Strawberry Banana Protein Shake
2589.66,3,High Protein Pancakes,Yogurt with Walnuts & Honey,Spicy Tuna Salad,,
2589.66,4,Spinach Scramble,"Strawberry, Peach, and Chia Smoothie",Barbecue tuna sandwich,Peanut Butter & Carrots,
2589.66,5,Peaches and Cream Protein Shake,Buttered Toast with Cinnamon,Quick Avocado Tuna Sandwich,Brussels Sprout Slaw,"Cream Cheese, Lox, and Capers English Muffin"
2852.38,3,Pumpkin Pie Spiced Waffles,Yogurt with Pumpkin & Cinnamon,Mocha Berry Almond Smoothie,,
2852.38,4,Protein Southwest Scramble,Camembert on Garlic Bread,Chilled Cucumber Avocado Soup,"Yogurt with Blueberries, Sunflower Seeds, and Honey",
2852.38,5,Chocolate Oats,Cinnamon Sugar Toast with Sea Salt,Tuna Poke,Ants on a Log,Yogurt Peanut Butter Dip & Apples
1614,3,"Kale, Peppers, Tomatoes, and Cashew Scramble","Toast with Tomato, Onion, & Hummus",Corn Tuna Salad,,
1614,4,Strawberry Banana Protein Shake,Avocado Rice Cake,Red Pepper & Tomato Salad,Yogurt with Papaya,
1614,5,Grown-Up PB&J Toast,Pineapple Cottage Cheese with Lime,Tuna Poke,Pineapple & Avocado Salad,Peaches & Almond Butter on Toast
1936.8,3,Protein Southwest Scramble,"Toast with Tomato, Onion, & Hummus",Peanut Butter Mango Smoothie,,
1936.8,4,Cinnamon Raisin Protein Oatmeal,Buttered Toast,Quick Avocado Tuna Sandwich,Oranges,
1936.8,5,Grown-Up PB&J Toast,Light Nectarine Yogurt,Mango Strawberry Arugula Salad,Honey and Melon Cottage Cheese,All American Tuna
2219.25,3,French Toast with Fruit,Peanut Butter Banana Smoothie,Simple Ham and Lettuce Sandwich,,
